Ragione Sociale,Forma Giuridica,Settore,Anno Fondazione,Partita IVA,Categoria,Dipendenti,Fatturato (milioni €),Telefono,Email,Sito Web,Indirizzo,CAP,Città,Provincia,Descrizione
Bianchi Legno S.a.s.,S.a.s.,Artigianato,2009,18149108634,Micro impresa,2,0.22,+39 391 9758217,vendite@bianchilegno.it,,"Via II Giugno, 113 - 35168 Padova (PD)",35168,Padova,PD,"Fondata nel 2009, la nostra azienda opera nel settore artigianato con 2 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Veneto Metalli Società cooperativa,Società cooperativa,Trasporti,2015,32155707719,Piccola impresa,46,8.56,+39 350 8411726,contatti@venetometalli.it,,"Via Edison, 83 - 35164 Padova (PD)",35164,Padova,PD,Azienda a conduzione familiare con 10 anni di esperienza nel settore trasporti. Siamo una piccola impresa con 46 dipendenti e un fatturato annuo di 8.56 milioni di euro.
Lazio Edile S.r.l.,S.r.l.,Alimentare,2018,34668991194,Micro impresa,2,1.0,+39 370 4898670,vendite@lazioedile.it,https://www.lazioedile.it,"Via Roma, 18 - 37171 Verona (VR)",37171,Verona,VR,"Realtà imprenditoriale italiana fondata nel 2018, specializzata nel settore alimentare. La nostra struttura conta 2 professionisti qualificati e ha un fatturato di 1.0 milioni di euro."
Marino-Colombo S.a.s.,S.a.s.,Manifatturiero,2016,19834472103,Micro impresa,1,0.3,+39 338 7430305,marinocolombo@gmail.com,https://www.marinocolombo.it,"Via Bologna, 144 - 25148 Brescia (BS)",25148,Brescia,BS,"Fondata nel 2016, la nostra azienda opera nel settore manifatturiero con 1 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Greco Edilizia S.n.c.,S.n.c.,Manifatturiero,2020,89890443017,Micro impresa,3,1.91,+39 081 4286279,contatti@grecoedilizia.it,https://www.grecoedilizia.it,"Via Europa, 137 - 81079 Como (CO)",81079,Como,CO,"Da oltre 5 anni siamo specializzati nel settore manifatturiero. La nostra azienda, con sede a Como, conta 3 collaboratori e un fatturato di 1.91 milioni di euro."
Lombardi - Mancini S.r.l.,S.r.l.,Servizi alle imprese,1997,95566488740,Piccola impresa,49,4.21,+39 328 7400790,info@lombardimancini.it,https://www.lombardimancini.it,"Viale delle Nazioni, 91 - 15091 Prato (PO)",15091,Prato,PO,Azienda a conduzione familiare con 28 anni di esperienza nel settore servizi alle imprese. Siamo una piccola impresa con 49 dipendenti e un fatturato annuo di 4.21 milioni di euro.
Marche Vetro S.n.c.,S.n.c.,Metalmeccanica,2022,29101702811,Micro impresa,7,0.95,+39 391 2326406,vendite@marchevetro.it,https://www.marchevetro.it,"Via Venezia, 198 - 79083 Modena (MO)",79083,Modena,MO,"Da oltre 3 anni siamo specializzati nel settore metalmeccanica. La nostra azienda, con sede a Modena, conta 7 collaboratori e un fatturato di 0.95 milioni di euro."
Ferrari Edilizia S.a.s.,S.a.s.,Tessile,1960,35110437909,Micro impresa,4,1.57,+39 011 8456639,contatti@ferrariedilizia.it,https://www.ferrariedilizia.it,"Via Galilei, 31 - 45047 Bolzano (BZ)",45047,Bolzano,BZ,"Fondata nel 1960, la nostra azienda opera nel settore tessile con 4 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Romano Legno S.r.l.,S.r.l.,Artigianato,1988,76961425328,Piccola impresa,15,5.9,+39 328 6133516,ufficio@romanolegno.it,https://www.romanolegno.it,"Via XXV Aprile, 193 - 14082 Modena (MO)",14082,Modena,MO,Azienda a conduzione familiare con 37 anni di esperienza nel settore artigianato. Siamo una piccola impresa con 15 dipendenti e un fatturato annuo di 5.9 milioni di euro.
Ricci Impianti Società cooperativa,Società cooperativa,Alimentare,2007,55897761378,Micro impresa,5,0.24,+39 329 2990848,ricciimpianti@yahoo.it,https://www.ricciimpianti.it,"Via dell'Artigianato, 141 - 40109 Bologna (BO)",40109,Bologna,BO,"Fondata nel 2007, la nostra azienda opera nel settore alimentare con 5 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Bruno Servizi,Ditta individuale,Turismo,2013,73707687039,Micro impresa,3,0.24,+39 389 7751896,contatti@brunoservizi.it,https://www.brunoservizi.it,"Via dell'Artigianato, 56 - 70102 Bari (BA)",70102,Bari,BA,"Da oltre 12 anni siamo specializzati nel settore turismo. La nostra azienda, con sede a Bari, conta 3 collaboratori e un fatturato di 0.24 milioni di euro."
Elettrogroup,Ditta individuale,Metalmeccanica,2009,62653575896,Micro impresa,8,0.14,+39 045 5678121,elettrogroup@hotmail.it,https://www.elettrogroup.it,"Via Milano, 178 - 20197 Milano (MI)",20197,Milano,MI,"PMI italiana attiva nel settore metalmeccanica dal 2009. Con 8 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
K.O.E.H. S.n.c.,S.n.c.,Elettronica,2018,66032444428,Piccola impresa,45,6.27,+39 045 4233873,vendite@koeh.it,https://www.koeh.it,"Via Firenze, 12 - 10164 Torino (TO)",10164,Torino,TO,"Realtà imprenditoriale italiana fondata nel 2018, specializzata nel settore elettronica. La nostra struttura conta 45 professionisti qualificati e ha un fatturato di 6.27 milioni di euro."
Autoexport S.r.l.,S.r.l.,Manifatturiero,1987,60134262005,Micro impresa,5,0.79,+39 389 8553750,amministrazione@autoexport.it,https://www.autoexport.it,"Viale dell'Indipendenza, 86 - 20101 Milano (MI)",20101,Milano,MI,"Realtà imprenditoriale italiana fondata nel 1987, specializzata nel settore manifatturiero. La nostra struttura conta 5 professionisti qualificati e ha un fatturato di 0.79 milioni di euro."
Umbria Stampa S.r.l.,S.r.l.,Turismo,1985,95696017263,Micro impresa,7,1.09,+39 081 6256933,amministrazione@umbriastampa.it,https://www.umbriastampa.it,"Via Milano, 38 - 15023 Cagliari (CA)",15023,Cagliari,CA,"Da oltre 40 anni siamo specializzati nel settore turismo. La nostra azienda, con sede a Cagliari, conta 7 collaboratori e un fatturato di 1.09 milioni di euro."
Costa-Bianchi S.n.c.,S.n.c.,Commercio,1998,85566822092,Piccola impresa,31,3.71,+39 02 1387675,vendite@costabianchi.it,,"Via Marconi, 179 - 80191 Napoli (NA)",80191,Napoli,NA,"Fondata nel 1998, la nostra azienda opera nel settore commercio con 31 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Emilia Edile S.r.l.,S.r.l.,Alimentare,2018,84350952752,Micro impresa,2,1.45,+39 011 4369894,amministrazione@emiliaedile.it,https://www.emiliaedile.it,"Via Roma, 68 - 15089 Cagliari (CA)",15089,Cagliari,CA,"Realtà imprenditoriale italiana fondata nel 2018, specializzata nel settore alimentare. La nostra struttura conta 2 professionisti qualificati e ha un fatturato di 1.45 milioni di euro."
Lombardia Stampa Società cooperativa,Società cooperativa,Meccanica,2021,52790613198,Media impresa,76,19.02,+39 06 7020946,contatti@lombardiastampa.it,https://www.lombardiastampa.it,"Via XXV Aprile, 70 - 77056 Bolzano (BZ)",77056,Bolzano,BZ,Azienda a conduzione familiare con 4 anni di esperienza nel settore meccanica. Siamo una media impresa con 76 dipendenti e un fatturato annuo di 19.02 milioni di euro.
Ecodesign S.r.l.,S.r.l.,Meccanica,2007,00926491489,Micro impresa,6,1.26,+39 045 713123,ecodesign@virgilio.it,https://www.ecodesign.it,"Via IV Novembre, 43 - 70087 Udine (UD)",70087,Udine,UD,"Fondata nel 2007, la nostra azienda opera nel settore meccanica con 6 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Z.N. S.r.l.,S.r.l.,Meccanica,1991,15195431072,Micro impresa,7,0.17,+39 010 7595246,zn@virgilio.it,https://www.zn.it,"Via Dante, 15 - 53069 Pescara (PE)",53069,Pescara,PE,Azienda a conduzione familiare con 34 anni di esperienza nel settore meccanica. Siamo una micro impresa con 7 dipendenti e un fatturato annuo di 0.17 milioni di euro.
Romano Edilizia S.n.c.,S.n.c.,Meccanica,1996,48715453441,Piccola impresa,28,7.09,+39 328 5711023,contatti@romanoedilizia.it,https://www.romanoedilizia.it,"Via IV Novembre, 120 - 14052 Parma (PR)",14052,Parma,PR,"Fondata nel 1996, la nostra azienda opera nel settore meccanica con 28 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Barbieri & Lombardi S.a.s.,S.a.s.,Metalmeccanica,1979,77333465911,Piccola impresa,13,8.01,+39 010 696610,vendite@barbierielombardi.it,https://www.barbierielombardi.it,"Via XXV Aprile, 53 - 79066 Palermo (PA)",79066,Palermo,PA,Azienda a conduzione familiare con 46 anni di esperienza nel settore metalmeccanica. Siamo una piccola impresa con 13 dipendenti e un fatturato annuo di 8.01 milioni di euro.
Tessilequality,Ditta individuale,Trasporti,2022,18466979273,Micro impresa,4,0.82,+39 02 3032775,contatti@tessilequality.it,https://www.tessilequality.it,"Viale delle Nazioni, 31 - 70166 Bari (BA)",70166,Bari,BA,"Realtà imprenditoriale italiana fondata nel 2022, specializzata nel settore trasporti. La nostra struttura conta 4 professionisti qualificati e ha un fatturato di 0.82 milioni di euro."
Metalsolutions S.r.l.,S.r.l.,Elettronica,1996,04565222462,Micro impresa,7,1.53,+39 055 7774369,vendite@metalsolutions.it,https://www.metalsolutions.it,"Via Napoli, 58 - 77045 Trento (TN)",77045,Trento,TN,"Fondata nel 1996, la nostra azienda opera nel settore elettronica con 7 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Colombo Trasporti,Ditta individuale,Meccanica,2016,89732256465,Micro impresa,7,1.41,+39 051 4577504,vendite@colombotrasporti.it,https://www.colombotrasporti.it,"Via Venezia, 97 - 49024 Varese (VA)",49024,Varese,VA,"Da oltre 9 anni siamo specializzati nel settore meccanica. La nostra azienda, con sede a Varese, conta 7 collaboratori e un fatturato di 1.41 milioni di euro."
U.V. S.r.l.,S.r.l.,Manifatturiero,2019,58361502856,Micro impresa,9,1.75,+39 091 1429970,amministrazione@uv.it,https://www.uv.it,"Via Galilei, 93 - 25127 Brescia (BS)",25127,Brescia,BS,"PMI italiana attiva nel settore manifatturiero dal 2019. Con 9 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Rossi-Greco S.a.s.,S.a.s.,Edilizia,2006,64462533519,Piccola impresa,39,8.54,+39 392 2318627,info@rossigreco.it,https://www.rossigreco.it,"Viale dell'Indipendenza, 199 - 20185 Milano (MI)",20185,Milano,MI,Azienda a conduzione familiare con 19 anni di esperienza nel settore edilizia. Siamo una piccola impresa con 39 dipendenti e un fatturato annuo di 8.54 milioni di euro.
Emilia Meccanica,Ditta individuale,Artigianato,2011,35605680186,Micro impresa,5,0.68,+39 049 7917280,emiliameccanica@virgilio.it,,"Via Garibaldi, 158 - 50153 Firenze (FI)",50153,Firenze,FI,"PMI italiana attiva nel settore artigianato dal 2011. Con 5 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Termoproject,Ditta individuale,Elettronica,2015,10492507401,Piccola impresa,35,8.35,+39 010 7875826,info@termoproject.it,https://www.termoproject.it,"Via dell'Industria, 22 - 56092 Venezia (VE)",56092,Venezia,VE,"Realtà imprenditoriale italiana fondata nel 2015, specializzata nel settore elettronica. La nostra struttura conta 35 professionisti qualificati e ha un fatturato di 8.35 milioni di euro."
Bruno-Mancini S.r.l.,S.r.l.,Alimentare,2014,00814978887,Piccola impresa,30,2.69,+39 388 9587444,contatti@brunomancini.it,https://www.brunomancini.it,"Via Napoli, 77 - 62099 Prato (PO)",62099,Prato,PO,"Realtà imprenditoriale italiana fondata nel 2014, specializzata nel settore alimentare. La nostra struttura conta 30 professionisti qualificati e ha un fatturato di 2.69 milioni di euro."
Conti & Colombo S.n.c.,S.n.c.,Legno e arredo,2015,82862717242,Micro impresa,1,0.31,+39 393 9123741,contiecolombo@gmail.com,https://www.contiecolombo.it,"Via del Lavoro, 157 - 50105 Firenze (FI)",50105,Firenze,FI,Azienda a conduzione familiare con 10 anni di esperienza nel settore legno e arredo. Siamo una micro impresa con 1 dipendenti e un fatturato annuo di 0.31 milioni di euro.
P.R. S.r.l.,S.r.l.,Metalmeccanica,1961,69666086036,Piccola impresa,22,6.97,+39 02 534742,contatti@pr.it,https://www.pr.it,"Via Fermi, 107 - 14061 Vicenza (VI)",14061,Vicenza,VI,Azienda a conduzione familiare con 64 anni di esperienza nel settore metalmeccanica. Siamo una piccola impresa con 22 dipendenti e un fatturato annuo di 6.97 milioni di euro.
Mectrade S.r.l.s.,S.r.l.s.,Edilizia,2020,41306958359,Micro impresa,6,0.07,+39 02 1869997,info@mectrade.it,https://www.mectrade.it,"Via Edison, 167 - 25032 Udine (UD)",25032,Udine,UD,Azienda a conduzione familiare con 5 anni di esperienza nel settore edilizia. Siamo una micro impresa con 6 dipendenti e un fatturato annuo di 0.07 milioni di euro.
Plastdesign S.r.l.,S.r.l.,Manifatturiero,2022,30054327899,Micro impresa,7,0.06,+39 011 4545271,amministrazione@plastdesign.it,https://www.plastdesign.it,"Viale delle Nazioni, 144 - 37187 Verona (VR)",37187,Verona,VR,"Fondata nel 2022, la nostra azienda opera nel settore manifatturiero con 7 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Romano Meccanica S.n.c.,S.n.c.,Commercio,1986,49242584970,Micro impresa,4,0.61,+39 051 8689456,contatti@romanomeccanica.it,https://www.romanomeccanica.it,"Via Galilei, 23 - 95015 Perugia (PG)",95015,Perugia,PG,"Realtà imprenditoriale italiana fondata nel 1986, specializzata nel settore commercio. La nostra struttura conta 4 professionisti qualificati e ha un fatturato di 0.61 milioni di euro."
Brianza Plastica S.r.l.,S.r.l.,Plastica,1980,90590111626,Micro impresa,3,1.11,+39 051 2268025,amministrazione@brianzaplastica.it,https://www.brianzaplastica.it,"Via IV Novembre, 76 - 41072 Palermo (PA)",41072,Palermo,PA,"Da oltre 45 anni siamo specializzati nel settore plastica. La nostra azienda, con sede a Palermo, conta 3 collaboratori e un fatturato di 1.11 milioni di euro."
Ferrari Edilizia,Ditta individuale,Plastica,2008,33070152929,Micro impresa,5,0.49,+39 045 1547869,ferrariedilizia@outlook.it,https://www.ferrariedilizia.it,"Viale delle Nazioni, 26 - 89080 Catania (CT)",89080,Catania,CT,"Da oltre 17 anni siamo specializzati nel settore plastica. La nostra azienda, con sede a Catania, conta 5 collaboratori e un fatturato di 0.49 milioni di euro."
B.Q.A. S.a.s.,S.a.s.,Elettronica,2018,25923300084,Micro impresa,1,1.88,+39 329 9564230,amministrazione@bqa.it,https://www.bqa.it,"Via delle Industrie, 118 - 98051 Udine (UD)",98051,Udine,UD,"Fondata nel 2018, la nostra azienda opera nel settore elettronica con 1 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Emilia Metalli S.r.l.,S.r.l.,Manifatturiero,2001,86886797188,Micro impresa,7,1.25,+39 380 9286531,ufficio@emiliametalli.it,https://www.emiliametalli.it,"Via Galilei, 19 - 25174 Brescia (BS)",25174,Brescia,BS,Azienda a conduzione familiare con 24 anni di esperienza nel settore manifatturiero. Siamo una micro impresa con 7 dipendenti e un fatturato annuo di 1.25 milioni di euro.
Legnosolutions S.r.l.s.,S.r.l.s.,Elettronica,1999,01460646035,Micro impresa,9,0.87,+39 045 6210781,ufficio@legnosolutions.it,,"Via Milano, 148 - 70193 Bari (BA)",70193,Bari,BA,"Fondata nel 1999, la nostra azienda opera nel settore elettronica con 9 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
L.J. S.r.l.s.,S.r.l.s.,Artigianato,2003,17025293441,Micro impresa,3,0.5,+39 02 8479900,lj@pec.it,https://www.lj.it,"Via Bologna, 105 - 48038 Pescara (PE)",48038,Pescara,PE,"Fondata nel 2003, la nostra azienda opera nel settore artigianato con 3 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Termoenergy S.a.s.,S.a.s.,Metalmeccanica,2019,59376434099,Piccola impresa,48,3.37,+39 010 5877660,ufficio@termoenergy.it,https://www.termoenergy.it,"Viale della Libertà, 114 - 95040 Perugia (PG)",95040,Perugia,PG,"Da oltre 6 anni siamo specializzati nel settore metalmeccanica. La nostra azienda, con sede a Perugia, conta 48 collaboratori e un fatturato di 3.37 milioni di euro."
J.L.I.,Ditta individuale,Chimica,2002,52417536544,Micro impresa,2,0.49,+39 393 6224671,jli@outlook.it,https://www.jli.it,"Via Fermi, 30 - 80174 Napoli (NA)",80174,Napoli,NA,"Realtà imprenditoriale italiana fondata nel 2002, specializzata nel settore chimica. La nostra struttura conta 2 professionisti qualificati e ha un fatturato di 0.49 milioni di euro."
Greco e Moretti S.p.A.,S.p.A.,Meccanica,2022,97663063194,Micro impresa,7,0.12,+39 045 6151246,info@grecoemoretti.it,https://www.grecoemoretti.it,"Via Garibaldi, 129 - 10196 Torino (TO)",10196,Torino,TO,"Da oltre 3 anni siamo specializzati nel settore meccanica. La nostra azienda, con sede a Torino, conta 7 collaboratori e un fatturato di 0.12 milioni di euro."
Stampaprom S.a.s.,S.a.s.,Edilizia,2018,12074794846,Micro impresa,8,0.13,+39 320 9762039,ufficio@stampaprom.it,https://www.stampaprom.it,"Viale dell'Indipendenza, 124 - 48060 Treviso (TV)",48060,Treviso,TV,"Da oltre 7 anni siamo specializzati nel settore edilizia. La nostra azienda, con sede a Treviso, conta 8 collaboratori e un fatturato di 0.13 milioni di euro."
L.Q.J.J. S.r.l.,S.r.l.,Alimentare,2010,62510863112,Micro impresa,3,0.41,+39 328 2398764,contatti@lqjj.it,https://www.lqjj.it,"Via Fermi, 33 - 50136 Firenze (FI)",50136,Firenze,FI,"Fondata nel 2010, la nostra azienda opera nel settore alimentare con 3 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
L.L.G.O. S.r.l.,S.r.l.,Artigianato,2023,81200996652,Piccola impresa,49,9.87,+39 320 5484544,contatti@llgo.it,https://www.llgo.it,"Via Fermi, 75 - 25093 Trento (TN)",25093,Trento,TN,"Realtà imprenditoriale italiana fondata nel 2023, specializzata nel settore artigianato. La nostra struttura conta 49 professionisti qualificati e ha un fatturato di 9.87 milioni di euro."
Emilia Vetro S.r.l.,S.r.l.,Trasporti,1976,75408957762,Micro impresa,2,1.22,+39 081 5625017,amministrazione@emiliavetro.it,https://www.emiliavetro.it,"Via Napoli, 48 - 86036 Reggio Emilia (RE)",86036,Reggio Emilia,RE,"Da oltre 49 anni siamo specializzati nel settore trasporti. La nostra azienda, con sede a Reggio Emilia, conta 2 collaboratori e un fatturato di 1.22 milioni di euro."
E.Y.,Ditta individuale,Meccanica,2007,70641779558,Micro impresa,6,0.32,+39 02 6335082,ufficio@ey.it,https://www.ey.it,"Via Bologna, 81 - 00114 Roma (RM)",00114,Roma,RM,"Realtà imprenditoriale italiana fondata nel 2007, specializzata nel settore meccanica. La nostra struttura conta 6 professionisti qualificati e ha un fatturato di 0.32 milioni di euro."
Bruno Impianti S.a.s.,S.a.s.,Elettronica,2014,79425234771,Micro impresa,5,0.87,+39 011 465640,contatti@brunoimpianti.it,https://www.brunoimpianti.it,"Via Mazzini, 153 - 70170 Bari (BA)",70170,Bari,BA,"Realtà imprenditoriale italiana fondata nel 2014, specializzata nel settore elettronica. La nostra struttura conta 5 professionisti qualificati e ha un fatturato di 0.87 milioni di euro."
Rossi Legno S.r.l.,S.r.l.,Alimentare,1996,25904869920,Micro impresa,4,1.2,+39 051 6384751,rossilegno@virgilio.it,,"Via Venezia, 46 - 64090 Udine (UD)",64090,Udine,UD,Azienda a conduzione familiare con 29 anni di esperienza nel settore alimentare. Siamo una micro impresa con 4 dipendenti e un fatturato annuo di 1.2 milioni di euro.
Mecgroup,Ditta individuale,Turismo,2020,56671181828,Micro impresa,9,1.46,+39 340 3126660,vendite@mecgroup.it,https://www.mecgroup.it,"Via Galilei, 28 - 10029 Venezia (VE)",10029,Venezia,VE,"Realtà imprenditoriale italiana fondata nel 2020, specializzata nel settore turismo. La nostra struttura conta 9 professionisti qualificati e ha un fatturato di 1.46 milioni di euro."
Idroquality S.n.c.,S.n.c.,Metalmeccanica,2009,49757925083,Micro impresa,1,1.22,+39 345 3108318,idroquality@pec.it,https://www.idroquality.it,"Via Bologna, 35 - 37100 Verona (VR)",37100,Verona,VR,"PMI italiana attiva nel settore metalmeccanica dal 2009. Con 1 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Marche Stampa S.r.l.,S.r.l.,ICT,1996,79255397164,Piccola impresa,24,5.54,+39 010 5819384,ufficio@marchestampa.it,https://www.marchestampa.it,"Via Roma, 91 - 80148 Napoli (NA)",80148,Napoli,NA,Azienda a conduzione familiare con 29 anni di esperienza nel settore ict. Siamo una piccola impresa con 24 dipendenti e un fatturato annuo di 5.54 milioni di euro.
Greco & Giordano S.n.c.,S.n.c.,Agricoltura,2016,29000086365,Micro impresa,3,1.01,+39 055 7318275,grecoegiordano@hotmail.it,,"Viale dell'Indipendenza, 190 - 79045 Perugia (PG)",79045,Perugia,PG,"PMI italiana attiva nel settore agricoltura dal 2016. Con 3 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Bruno & Romano S.r.l.,S.r.l.,Tessile,2017,09152867731,Micro impresa,7,1.34,+39 081 8009543,ufficio@brunoeromano.it,https://www.brunoeromano.it,"Via Milano, 56 - 93035 Monza (MB)",93035,Monza,MB,"Realtà imprenditoriale italiana fondata nel 2017, specializzata nel settore tessile. La nostra struttura conta 7 professionisti qualificati e ha un fatturato di 1.34 milioni di euro."
Ferrari & Giordano,Ditta individuale,Servizi alla persona,2020,15397561039,Micro impresa,9,1.81,+39 391 9616399,contatti@ferrariegiordano.it,https://www.ferrariegiordano.it,"Via delle Industrie, 58 - 87026 Palermo (PA)",87026,Palermo,PA,"Da oltre 5 anni siamo specializzati nel settore servizi alla persona. La nostra azienda, con sede a Palermo, conta 9 collaboratori e un fatturato di 1.81 milioni di euro."
Marche Plastica S.r.l.,S.r.l.,Manifatturiero,2015,45844387478,Micro impresa,4,0.79,+39 091 1208490,info@marcheplastica.it,,"Via dell'Artigianato, 100 - 35150 Padova (PD)",35150,Padova,PD,"Da oltre 10 anni siamo specializzati nel settore manifatturiero. La nostra azienda, con sede a Padova, conta 4 collaboratori e un fatturato di 0.79 milioni di euro."
Marino Costruzioni S.r.l.s.,S.r.l.s.,Edilizia,2016,67922474279,Micro impresa,4,0.51,+39 338 9453481,vendite@marinocostruzioni.it,https://www.marinocostruzioni.it,"Via Dante, 46 - 70103 Bari (BA)",70103,Bari,BA,"Da oltre 9 anni siamo specializzati nel settore edilizia. La nostra azienda, con sede a Bari, conta 4 collaboratori e un fatturato di 0.51 milioni di euro."
Ferrari - Rossi Società cooperativa,Società cooperativa,Edilizia,2013,56105562325,Micro impresa,9,0.92,+39 02 4485563,ufficio@ferrarirossi.it,https://www.ferrarirossi.it,"Via Galilei, 12 - 45040 Bolzano (BZ)",45040,Bolzano,BZ,"Realtà imprenditoriale italiana fondata nel 2013, specializzata nel settore edilizia. La nostra struttura conta 9 professionisti qualificati e ha un fatturato di 0.92 milioni di euro."
Lombardia Meccanica,Ditta individuale,Commercio,2010,66187443944,Micro impresa,1,0.71,+39 081 7763667,info@lombardiameccanica.it,https://www.lombardiameccanica.it,"Via Bologna, 107 - 14055 Venezia (VE)",14055,Venezia,VE,"Realtà imprenditoriale italiana fondata nel 2010, specializzata nel settore commercio. La nostra struttura conta 1 professionisti qualificati e ha un fatturato di 0.71 milioni di euro."
Legnoengineering S.r.l.,S.r.l.,Legno e arredo,2005,66037772547,Micro impresa,6,1.4,+39 081 2965300,ufficio@legnoengineering.it,https://www.legnoengineering.it,"Via delle Industrie, 137 - 75052 Reggio Emilia (RE)",75052,Reggio Emilia,RE,"Da oltre 20 anni siamo specializzati nel settore legno e arredo. La nostra azienda, con sede a Reggio Emilia, conta 6 collaboratori e un fatturato di 1.4 milioni di euro."
Piemonte Metalli S.r.l.,S.r.l.,Tessile,2011,03512275131,Micro impresa,3,0.82,+39 347 6063382,contatti@piemontemetalli.it,https://www.piemontemetalli.it,"Via II Giugno, 119 - 36099 Modena (MO)",36099,Modena,MO,"Realtà imprenditoriale italiana fondata nel 2011, specializzata nel settore tessile. La nostra struttura conta 3 professionisti qualificati e ha un fatturato di 0.82 milioni di euro."
H.E.O.,Ditta individuale,ICT,2014,99599920818,Micro impresa,8,1.11,+39 327 6252010,contatti@heo.it,,"Via Fermi, 11 - 10167 Torino (TO)",10167,Torino,TO,"Fondata nel 2014, la nostra azienda opera nel settore ict con 8 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Plastfood S.r.l.,S.r.l.,Trasporti,2007,95877996469,Micro impresa,4,0.21,+39 045 498596,vendite@plastfood.it,https://www.plastfood.it,"Via Venezia, 6 - 77045 Modena (MO)",77045,Modena,MO,"PMI italiana attiva nel settore trasporti dal 2007. Con 4 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Infodesign S.r.l.,S.r.l.,Edilizia,2007,12657360202,Micro impresa,1,0.87,+39 360 1875494,ufficio@infodesign.it,https://www.infodesign.it,"Via del Lavoro, 94 - 29062 Treviso (TV)",29062,Treviso,TV,"Fondata nel 2007, la nostra azienda opera nel settore edilizia con 1 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Bioitalia S.r.l.,S.r.l.,ICT,2015,26751030733,Micro impresa,7,1.01,+39 011 4156609,contatti@bioitalia.it,https://www.bioitalia.it,"Via I Maggio, 148 - 55053 Venezia (VE)",55053,Venezia,VE,"Da oltre 10 anni siamo specializzati nel settore ict. La nostra azienda, con sede a Venezia, conta 7 collaboratori e un fatturato di 1.01 milioni di euro."
Lombardi-Gallo,Ditta individuale,Agricoltura,2016,17594419726,Micro impresa,9,1.51,+39 388 8838061,ufficio@lombardigallo.it,,"Via Marconi, 188 - 80036 Monza (MB)",80036,Monza,MB,Azienda a conduzione familiare con 9 anni di esperienza nel settore agricoltura. Siamo una micro impresa con 9 dipendenti e un fatturato annuo di 1.51 milioni di euro.
Ricci Legno S.r.l.,S.r.l.,Chimica,2004,04476195802,Micro impresa,8,0.5,+39 051 6090614,riccilegno@gmail.com,https://www.riccilegno.it,"Via Edison, 169 - 40100 Bologna (BO)",40100,Bologna,BO,"PMI italiana attiva nel settore chimica dal 2004. Con 8 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
J.X.H. S.a.s.,S.a.s.,ICT,2008,87681445698,Micro impresa,3,1.39,+39 370 5090063,vendite@jxh.it,https://www.jxh.it,"Via XXV Aprile, 53 - 64077 Udine (UD)",64077,Udine,UD,Azienda a conduzione familiare con 17 anni di esperienza nel settore ict. Siamo una micro impresa con 3 dipendenti e un fatturato annuo di 1.39 milioni di euro.
Rossi Meccanica,Ditta individuale,Chimica,2006,55930848609,Micro impresa,1,1.06,+39 051 2887664,rossimeccanica@libero.it,,"Via II Giugno, 16 - 24072 Como (CO)",24072,Como,CO,"Realtà imprenditoriale italiana fondata nel 2006, specializzata nel settore chimica. La nostra struttura conta 1 professionisti qualificati e ha un fatturato di 1.06 milioni di euro."
Lazio Plastica S.a.s.,S.a.s.,Commercio,2000,81714467253,Micro impresa,3,0.15,+39 091 8949020,ufficio@lazioplastica.it,https://www.lazioplastica.it,"Via XXV Aprile, 7 - 41078 Catania (CT)",41078,Catania,CT,"Da oltre 25 anni siamo specializzati nel settore commercio. La nostra azienda, con sede a Catania, conta 3 collaboratori e un fatturato di 0.15 milioni di euro."
