Ragione Sociale,Forma Giuridica,Settore,Indirizzo,Città,Provincia,Email,Telefono,Cellulare,Sito Web,Anno Fondazione,Dipendenti,Fatturato,Descrizione,Stato,Data contatto,Data risposta,Note
Marino Tecnologia,S.r.l.,Tecnologia,"Via Catania, 74, Roma, Roma",Roma,Roma,info@marinotecnologia.it,02 9305956,360 6282705,www.marinotecnologia.eu,1999,190,42109217,Offriamo servizi e prodotti di alta qualità nel settore tecnologia dal 1999.,Non contattato,,,
FoodItalia,S.n.c.,Agricoltura,"Via Garibaldi, 61, Spoltore, Pescara",Spoltore,Pescara,info@fooditalia.it,081 362719,370 7642401,,1991,243,15072982,Azienda familiare con lunga tradizione nel settore agricoltura e forte radicamento territoriale.,Non contattato,,,
Verdi Arredamento,Ditta Individuale,Farmaceutico,"Via Verdi, 20, Palermo, Palermo",Palermo,Palermo,info@verdiarredamento.it,010 988886,320 8387700,www.verdiarredamento.net,2010,196,36767036,Dal 2010 operiamo con successo nel settore farmaceutico con clienti in tutta Italia.,Non contattato,,,
AgriTech,S.p.A.,Formazione,"Via Firenze, 12, Desenzano, Brescia",Desenzano,Brescia,info@agritech.com,041 388322,380 4628505,www.agritech.net,2016,64,8668354,Offriamo servizi e prodotti di alta qualità nel settore formazione dal 2016.,Non contattato,,,
Colombo S.p.A.,Ditta Individuale,Manifatturiero,"Via Mazzini, 135, Trento, Trento",Trento,Trento,colombospa@yahoo.it,06 6765551,,www.colombospa.eu,2020,97,14938115,Offriamo servizi e prodotti di alta qualità nel settore manifatturiero dal 2020.,Non contattato,,,
AeroConsulting,S.p.A.,Edilizia,"Via Dante, 124, Castelfranco Emilia, Modena",Castelfranco Emilia,Modena,info@aeroconsulting.com,049 829954,,www.aeroconsulting.it,1970,33,43922980,Realtà consolidata nel panorama edilizia con particolare attenzione alla sostenibilità.,Non contattato,,,
Giordano Automotive,S.p.A.,Tessile,"Via Venezia, 141, Torino, Torino",Torino,Torino,contatti@giordanoautomotive.it,06 6250830,320 7689837,www.giordanoautomotive.it,1978,41,40820651,Dal 1978 operiamo con successo nel settore tessile con clienti in tutta Italia.,Non contattato,,,
TechItalia,S.n.c.,Energia,"Corso Italia, 57, Sesto Fiorentino, Firenze",Sesto Fiorentino,Firenze,info@techitalia.it,049 434507,390 3095222,www.techitalia.org,2009,137,5422471,La nostra missione è fornire eccellenza nel settore energia con un approccio innovativo.,Non contattato,,,
TeleIndustries,S.a.s.,Edilizia,"Via Palermo, 143, Brunico, Bolzano",Brunico,Bolzano,teleindustries@company.it,030 724964,390 3091953,,1983,171,13737403,PMI in crescita specializzata in prodotti e servizi edilizia di alta qualità.,Non contattato,,,
WebGroup,Ditta Individuale,Servizi,"Via Brescia, 110, Genova, Genova",Genova,Genova,webgroup@business.it,045 346075,350 1923191,www.webgroup.com,1997,57,9104707,Realtà consolidata nel panorama servizi con particolare attenzione alla sostenibilità.,Non contattato,,,
Lombardi Cooperativa,S.a.s.,Turismo,"Via Torino, 109, Abano Terme, Padova",Abano Terme,Padova,info@lombardicooperativa.com,045 834306,,www.lombardicooperativa.com,1995,247,3388237,Offriamo servizi e prodotti di alta qualità nel settore turismo dal 1995.,Non contattato,,,
SoftGroup,Ditta Individuale,Consulenza,"Via Roma, 95, Ercolano, Napoli",Ercolano,Napoli,contatti@softgroup.it,06 8396857,,,1999,212,13393409,La nostra missione è fornire eccellenza nel settore consulenza con un approccio innovativo.,Non contattato,,,
Lombardi Agricoltura,Cooperativa,Marketing,"Via Roma, 132, Lavagna, Genova",Lavagna,Genova,lombardiagricoltura@business.it,080 397364,340 3680275,,2001,243,46607762,Azienda familiare con lunga tradizione nel settore marketing e forte radicamento territoriale.,Non contattato,,,
Greco Marketing,S.r.l.,Arredamento,"Via Venezia, 93, Assisi, Perugia",Assisi,Perugia,info@grecomarketing.it,055 579552,380 2626008,www.grecomarketing.eu,1981,228,32147800,Forniamo soluzioni personalizzate per il settore arredamento a piccole e medie imprese.,Non contattato,,,
Marino Consulenza,Cooperativa,Arredamento,"Via Padova, 31, Desenzano, Brescia",Desenzano,Brescia,info@marinoconsulenza.it,045 033141,,,2018,194,20295739,Dal 2018 operiamo con successo nel settore arredamento con clienti in tutta Italia.,Non contattato,,,
Costa Consulenza,Cooperativa,Servizi,"Via Garibaldi, 17, Bolzano, Bolzano",Bolzano,Bolzano,contatti@costaconsulenza.it,081 823465,391 2363976,,1979,241,17509851,La nostra missione è fornire eccellenza nel settore servizi con un approccio innovativo.,Non contattato,,,
ProInnovations,S.a.s.,Servizi,"Via Roma, 6, Empoli, Firenze",Empoli,Firenze,proinnovations@outlook.it,055 874274,,www.proinnovations.com,1996,190,4679887,Azienda familiare con lunga tradizione nel settore servizi e forte radicamento territoriale.,Non contattato,,,
Verdi S.r.l.,S.r.l.,Tecnologia,"Via Palermo, 133, Salsomaggiore, Parma",Salsomaggiore,Parma,contatti@verdisrl.it,010 456733,391 5751074,www.verdisrl.it,2013,175,6682362,Dal 2013 operiamo con successo nel settore tecnologia con clienti in tutta Italia.,Non contattato,,,
ElectroDevelopment,Cooperativa,Chimica,"Via Venezia, 32, Bitonto, Bari",Bitonto,Bari,electrodevelopment@tech.it,06 8554469,,www.electrodevelopment.org,2007,51,48804878,Azienda innovativa nel campo chimica con un team di professionisti qualificati.,Non contattato,,,
Barbieri Ristorazione,Ditta Individuale,Formazione,"Via Napoli, 75, Montichiari, Brescia",Montichiari,Brescia,contatti@barbieriristorazione.it,010 716961,350 9612079,www.barbieriristorazione.com,1997,196,39938471,PMI in crescita specializzata in prodotti e servizi formazione di alta qualità.,Non contattato,,,
GlobalInternational,Ditta Individuale,Automotive,"Via Dante, 14, Verona, Verona",Verona,Verona,info@globalinternational.it,045 296777,,www.globalinternational.eu,1982,13,21390999,Azienda innovativa nel campo automotive con un team di professionisti qualificati.,Non contattato,,,
Rossi Commercio,S.r.l.,Tessile,"Via Marconi, 81, Roma, Roma",Roma,Roma,info@rossicommercio.com,080 470258,350 6273530,,2008,215,49578671,PMI specializzata in soluzioni tessile per il mercato italiano ed europeo.,Non contattato,,,
Bruno Agricoltura,S.n.c.,Elettronica,"Via Venezia, 46, Casalecchio, Bologna",Casalecchio,Bologna,info@brunoagricoltura.com,011 381105,,www.brunoagricoltura.it,1974,45,47867987,Offriamo servizi e prodotti di alta qualità nel settore elettronica dal 1974.,Non contattato,,,
Ferrara S.n.c.,Ditta Individuale,Trasporti,"Corso Italia, 51, Carpi, Modena",Carpi,Modena,info@ferrarasnc.com,055 220791,,www.ferrarasnc.it,1980,102,2587748,Offriamo servizi e prodotti di alta qualità nel settore trasporti dal 1980.,Non contattato,,,
ProNetwork,S.r.l.,Turismo,"Via Modena, 85, Assemini, Cagliari",Assemini,Cagliari,info@pronetwork.com,080 302309,,www.pronetwork.com,1983,12,33512311,Realtà consolidata nel panorama turismo con particolare attenzione alla sostenibilità.,Non contattato,,,
EnergyEngineering,S.p.A.,Edilizia,"Via Palermo, 83, Assisi, Perugia",Assisi,Perugia,info@energyengineering.it,030 711391,350 2572848,www.energyengineering.net,1977,216,10849189,Azienda leader nel settore edilizia con focus su innovazione e qualità.,Non contattato,,,
Ferrari Energia,S.a.s.,Chimica,"Via Modena, 134, Scandicci, Firenze",Scandicci,Firenze,contatti@ferrarienergia.it,06 9675263,,www.ferrarienergia.net,2019,196,47090744,Azienda leader nel settore chimica con focus su innovazione e qualità.,Non contattato,,,
Mariani Agricoltura,S.a.s.,Logistica,"Via Cavour, 111, Sesto San Giovanni, Milano",Sesto San Giovanni,Milano,contatti@marianiagricoltura.it,041 076620,,www.marianiagricoltura.net,1989,210,10798610,Offriamo servizi e prodotti di alta qualità nel settore logistica dal 1989.,Non contattato,,,
AeroSystems,Ditta Individuale,Design,"Via Padova, 70, Lodi, Milano",Lodi,Milano,info@aerosystems.it,02 4042207,,www.aerosystems.eu,1989,240,43804223,Azienda familiare con lunga tradizione nel settore design e forte radicamento territoriale.,Non contattato,,,
SmartManufacturing,S.p.A.,Formazione,"Via Marconi, 10, Acireale, Catania",Acireale,Catania,info@smartmanufacturing.com,030 296660,,www.smartmanufacturing.eu,1970,239,100336,Azienda innovativa nel campo formazione con un team di professionisti qualificati.,Non contattato,,,
CyberGroup,S.a.s.,Meccanica,"Via Catania, 90, Rivoli, Torino",Rivoli,Torino,contatti@cybergroup.it,02 3706589,,www.cybergroup.org,1976,79,38295300,Azienda innovativa nel campo meccanica con un team di professionisti qualificati.,Non contattato,,,
Ricci Energia,S.r.l.,Edilizia,"Via Leonardo da Vinci, 68, Napoli, Napoli",Napoli,Napoli,contatti@riccienergia.it,049 915514,,,2001,26,3662263,Dal 2001 operiamo con successo nel settore edilizia con clienti in tutta Italia.,Non contattato,,,
Bianchi Cooperativa,S.r.l.,Trasporti,"Via Modena, 26, San Lazzaro, Bologna",San Lazzaro,Bologna,bianchicooperativa@company.it,02 7585358,390 8072864,www.bianchicooperativa.eu,1995,58,24422396,PMI specializzata in soluzioni trasporti per il mercato italiano ed europeo.,Non contattato,,,
Bianchi Formazione,S.p.A.,Meccanica,"Via Brescia, 9, Formigine, Modena",Formigine,Modena,info@bianchiformazione.it,049 709008,340 6379347,,1978,111,4839500,Dal 1978 operiamo con successo nel settore meccanica con clienti in tutta Italia.,Non contattato,,,
Moretti S.p.A.,S.p.A.,Trasporti,"Via Verona, 137, Paternò, Catania",Paternò,Catania,contatti@morettispa.it,055 794842,,www.morettispa.it,2021,64,23692998,Dal 2021 operiamo con successo nel settore trasporti con clienti in tutta Italia.,Non contattato,,,
Barbieri Farmaceutico,S.a.s.,Immobiliare,"Via Palermo, 134, Monopoli, Bari",Monopoli,Bari,info@barbierifarmaceutico.it,06 1277301,,www.barbierifarmaceutico.org,1975,114,1695548,Forniamo soluzioni personalizzate per il settore immobiliare a piccole e medie imprese.,Non contattato,,,
CyberInternational,S.n.c.,Trasporti,"Via Firenze, 38, Civitavecchia, Roma",Civitavecchia,Roma,contatti@cyberinternational.it,045 791673,,,1998,69,35106019,La nostra missione è fornire eccellenza nel settore trasporti con un approccio innovativo.,Non contattato,,,
Moretti Formazione,S.r.l.,Arredamento,"Via Bari, 143, Prato, Firenze",Prato,Firenze,morettiformazione@azienda.com,049 697834,,www.morettiformazione.com,2007,117,30510505,La nostra missione è fornire eccellenza nel settore arredamento con un approccio innovativo.,Non contattato,,,
Barbieri Design,S.r.l.,Immobiliare,"Via Palermo, 70, Anzio, Roma",Anzio,Roma,contatti@barbieridesign.it,045 313287,390 1235682,www.barbieridesign.eu,1993,115,37792401,Azienda familiare con lunga tradizione nel settore immobiliare e forte radicamento territoriale.,Non contattato,,,
BioInternational,S.r.l.,Formazione,"Via Mazzini, 32, Penne, Pescara",Penne,Pescara,info@biointernational.it,045 813013,390 7266701,www.biointernational.com,2003,246,40152957,Azienda leader nel settore formazione con focus su innovazione e qualità.,Non contattato,,,
GlobalInnovations,Ditta Individuale,Energia,"Via Bari, 141, Bagheria, Palermo",Bagheria,Palermo,contatti@globalinnovations.it,051 549350,360 2531446,,1993,222,30965279,Azienda familiare con lunga tradizione nel settore energia e forte radicamento territoriale.,Non contattato,,,
BioSystems,Cooperativa,Turismo,"Via Torino, 93, Firenze, Firenze",Firenze,Firenze,info@biosystems.it,06 0492893,391 5850298,www.biosystems.net,1984,186,32219577,Azienda innovativa nel campo turismo con un team di professionisti qualificati.,Non contattato,,,
Barbieri Marketing,S.r.l.,Chimica,"Via Genova, 41, Corato, Bari",Corato,Bari,barbierimarketing@group.it,081 754868,,www.barbierimarketing.it,1999,121,44865829,PMI in crescita specializzata in prodotti e servizi chimica di alta qualità.,Non contattato,,,
Moretti Cooperativa,S.a.s.,Chimica,"Via Marconi, 47, Romano di Lombardia, Bergamo",Romano di Lombardia,Bergamo,moretticooperativa@pec.it,010 075172,,www.moretticooperativa.net,2003,35,13584469,Forniamo soluzioni personalizzate per il settore chimica a piccole e medie imprese.,Non contattato,,,
Caruso S.n.c.,S.n.c.,Edilizia,"Via Milano, 9, Chieri, Torino",Chieri,Torino,info@carusosnc.com,030 709056,320 8378779,www.carusosnc.com,1991,137,12684511,Dal 1991 operiamo con successo nel settore edilizia con clienti in tutta Italia.,Non contattato,,,
Marino Automotive,S.r.l.,Ristorazione,"Via Modena, 30, Chiavari, Genova",Chiavari,Genova,contatti@marinoautomotive.it,080 177396,,www.marinoautomotive.net,2013,193,33240114,Azienda leader nel settore ristorazione con focus su innovazione e qualità.,Non contattato,,,
NetSystems,S.n.c.,Immobiliare,"Via Padova, 45, Quartu Sant'Elena, Cagliari",Quartu Sant'Elena,Cagliari,contatti@netsystems.it,02 6760651,,www.netsystems.net,1973,92,17870718,PMI in crescita specializzata in prodotti e servizi immobiliare di alta qualità.,Non contattato,,,
Gallo S.n.c.,S.p.A.,Consulenza,"Via Leonardo da Vinci, 83, Pergine, Trento",Pergine,Trento,info@gallosnc.com,041 024145,,www.gallosnc.org,1973,187,15900696,Realtà consolidata nel panorama consulenza con particolare attenzione alla sostenibilità.,Non contattato,,,
Gallo S.a.s.,Ditta Individuale,Energia,"Via Venezia, 63, Città di Castello, Perugia",Città di Castello,Perugia,info@gallosas.it,055 608458,380 0865318,www.gallosas.net,1973,238,46280395,Forniamo soluzioni personalizzate per il settore energia a piccole e medie imprese.,Non contattato,,,
Verdi Agricoltura,S.p.A.,Commercio,"Via Dante, 100, San Donà di Piave, Venezia",San Donà di Piave,Venezia,verdiagricoltura@pec.it,051 858743,,www.verdiagricoltura.org,2020,228,3800723,Azienda innovativa nel campo commercio con un team di professionisti qualificati.,Non contattato,,,
ElectroSystems,S.a.s.,Turismo,"Via Roma, 149, Selargius, Cagliari",Selargius,Cagliari,contatti@electrosystems.it,010 027362,320 7176401,www.electrosystems.org,1984,93,31371645,Azienda familiare con lunga tradizione nel settore turismo e forte radicamento territoriale.,Non contattato,,,
Bianchi S.n.c.,S.r.l.,Immobiliare,"Via Venezia, 101, Acireale, Catania",Acireale,Catania,contatti@bianchisnc.it,049 891570,370 7092518,www.bianchisnc.net,2002,94,19143453,Azienda leader nel settore immobiliare con focus su innovazione e qualità.,Non contattato,,,
LogicGroup,S.a.s.,Chimica,"Via Leonardo da Vinci, 18, San Lazzaro, Bologna",San Lazzaro,Bologna,info@logicgroup.it,010 432963,360 6821610,www.logicgroup.com,1986,72,44625153,Offriamo servizi e prodotti di alta qualità nel settore chimica dal 1986.,Non contattato,,,
Mancini Trasporti,S.p.A.,Trasporti,"Via Bari, 123, Afragola, Napoli",Afragola,Napoli,mancinitrasporti@outlook.it,011 148995,,,1976,34,20308064,Forniamo soluzioni personalizzate per il settore trasporti a piccole e medie imprese.,Non contattato,,,
Greco Ditta Individuale,S.n.c.,Consulenza,"Corso Italia, 116, Bitonto, Bari",Bitonto,Bari,grecodittaindividuale@gmail.com,051 520080,320 3879143,www.grecodittaindividuale.it,2011,77,5714818,Offriamo servizi e prodotti di alta qualità nel settore consulenza dal 2011.,Non contattato,,,
Ferrari Design,Ditta Individuale,Tecnologia,"Via Verdi, 3, Genova, Genova",Genova,Genova,ferraridesign@pec.it,02 1026888,,www.ferraridesign.eu,1979,221,40002564,Offriamo servizi e prodotti di alta qualità nel settore tecnologia dal 1979.,Non contattato,,,
Conti Arredamento,S.p.A.,Design,"Via Venezia, 45, Scandicci, Firenze",Scandicci,Firenze,info@contiarredamento.com,049 113469,,,1981,227,18429525,Azienda innovativa nel campo design con un team di professionisti qualificati.,Non contattato,,,
Verdi Automotive,Cooperativa,Agricoltura,"Corso Italia, 12, Este, Padova",Este,Padova,info@verdiautomotive.it,080 336563,370 6253416,www.verdiautomotive.org,2010,102,2590775,Azienda familiare con lunga tradizione nel settore agricoltura e forte radicamento territoriale.,Non contattato,,,
GreenService,S.n.c.,Manifatturiero,"Via Vittorio Emanuele, 65, Padova, Padova",Padova,Padova,greenservice@azienda.com,010 537592,391 5779981,www.greenservice.com,2003,111,13248156,Azienda leader nel settore manifatturiero con focus su innovazione e qualità.,Non contattato,,,
BioItalia,S.a.s.,Arredamento,"Via Verona, 70, Rivoli, Torino",Rivoli,Torino,contatti@bioitalia.it,081 053757,340 9555367,www.bioitalia.it,2021,47,26367225,Realtà consolidata nel panorama arredamento con particolare attenzione alla sostenibilità.,Non contattato,,,
TeleDevelopment,S.n.c.,Agricoltura,"Via Brescia, 40, Treviglio, Bergamo",Treviglio,Bergamo,info@teledevelopment.it,055 808439,330 7382018,www.teledevelopment.net,2010,173,47186933,Realtà consolidata nel panorama agricoltura con particolare attenzione alla sostenibilità.,Non contattato,,,
Gallo Ditta Individuale,Ditta Individuale,Commercio,"Via Firenze, 74, Termini Imerese, Palermo",Termini Imerese,Palermo,contatti@gallodittaindividuale.it,041 026733,,,1993,71,21812718,PMI specializzata in soluzioni commercio per il mercato italiano ed europeo.,Non contattato,,,
Rizzo Immobiliare,S.r.l.,Design,"Via Palermo, 18, Parma, Parma",Parma,Parma,rizzoimmobiliare@enterprise.com,081 545643,,www.rizzoimmobiliare.org,1990,104,26380778,Azienda innovativa nel campo design con un team di professionisti qualificati.,Non contattato,,,
Mariani Edilizia,Cooperativa,Trasporti,"Corso Italia, 100, Catania, Catania",Catania,Catania,contatti@marianiedilizia.it,081 073058,,www.marianiedilizia.org,2013,163,35165234,Forniamo soluzioni personalizzate per il settore trasporti a piccole e medie imprese.,Non contattato,,,
MediConsulting,S.r.l.,Agricoltura,"Via Catania, 21, Copertino, Lecce",Copertino,Lecce,info@mediconsulting.it,010 234325,,www.mediconsulting.it,2021,218,40371248,Realtà consolidata nel panorama agricoltura con particolare attenzione alla sostenibilità.,Non contattato,,,
Verdi Marketing,S.p.A.,Commercio,"Via Napoli, 147, Milano, Milano",Milano,Milano,verdimarketing@tech.it,080 459554,,www.verdimarketing.it,2006,119,2181033,PMI specializzata in soluzioni commercio per il mercato italiano ed europeo.,Non contattato,,,
GreenConsulting,S.r.l.,Marketing,"Via Modena, 3, Senigallia, Ancona",Senigallia,Ancona,info@greenconsulting.it,049 721045,391 5490656,www.greenconsulting.it,1991,72,31903501,Offriamo servizi e prodotti di alta qualità nel settore marketing dal 1991.,Non contattato,,,
Gallo S.p.A.,S.n.c.,Energia,"Via Venezia, 31, Monselice, Padova",Monselice,Padova,info@gallospa.com,041 662003,,www.gallospa.it,1978,7,10345650,Forniamo soluzioni personalizzate per il settore energia a piccole e medie imprese.,Non contattato,,,
GreenInnovations,Cooperativa,Arredamento,"Via Napoli, 3, Jesi, Ancona",Jesi,Ancona,greeninnovations@azienda.com,045 630133,,,1972,86,34065422,PMI in crescita specializzata in prodotti e servizi arredamento di alta qualità.,Non contattato,,,
Rizzo Cooperativa,S.r.l.,Energia,"Via Brescia, 36, Cittadella, Padova",Cittadella,Padova,rizzocooperativa@group.it,080 357164,340 5309498,www.rizzocooperativa.com,1997,92,47618581,Offriamo servizi e prodotti di alta qualità nel settore energia dal 1997.,Non contattato,,,
Ferrara Design,Cooperativa,Chimica,"Via Verdi, 146, Bressanone, Bolzano",Bressanone,Bolzano,ferraradesign@outlook.it,010 433418,320 6171046,www.ferraradesign.com,1986,20,30571951,Forniamo soluzioni personalizzate per il settore chimica a piccole e medie imprese.,Non contattato,,,
Barbieri S.a.s.,S.r.l.,Formazione,"Via Marconi, 4, Brescia, Brescia",Brescia,Brescia,contatti@barbierisas.it,041 550205,370 3876874,www.barbierisas.com,2012,190,11970658,Azienda leader nel settore formazione con focus su innovazione e qualità.,Non contattato,,,
DigitalEnterprise,Ditta Individuale,Chimica,"Via Milano, 138, Città Sant'Angelo, Pescara",Città Sant'Angelo,Pescara,contatti@digitalenterprise.it,055 033054,,www.digitalenterprise.net,2002,111,47667171,Azienda leader nel settore chimica con focus su innovazione e qualità.,Non contattato,,,
Gallo Tecnologia,Ditta Individuale,Tessile,"Via Leonardo da Vinci, 66, Pescara, Pescara",Pescara,Pescara,info@gallotecnologia.it,02 0232645,,www.gallotecnologia.org,2010,198,9390998,Azienda innovativa nel campo tessile con un team di professionisti qualificati.,Non contattato,,,
Romano Immobiliare,S.r.l.,Alimentare,"Via Torino, 60, Termini Imerese, Palermo",Termini Imerese,Palermo,info@romanoimmobiliare.com,051 253541,350 6156400,www.romanoimmobiliare.net,1999,139,7134812,Azienda innovativa nel campo alimentare con un team di professionisti qualificati.,Non contattato,,,
Bianchi Arredamento,S.n.c.,Logistica,"Via Cavour, 89, Legnano, Milano",Legnano,Milano,info@bianchiarredamento.it,080 838158,,www.bianchiarredamento.org,1994,97,30022549,Forniamo soluzioni personalizzate per il settore logistica a piccole e medie imprese.,Non contattato,,,
LogicIndustries,S.a.s.,Marketing,"Via Firenze, 33, Città Sant'Angelo, Pescara",Città Sant'Angelo,Pescara,contatti@logicindustries.it,06 0515351,,www.logicindustries.eu,2019,166,33458126,Dal 2019 operiamo con successo nel settore marketing con clienti in tutta Italia.,Non contattato,,,
LogicServices,S.r.l.,Immobiliare,"Via Bari, 66, Molfetta, Bari",Molfetta,Bari,info@logicservices.com,049 669327,,,1993,217,32577844,Azienda innovativa nel campo immobiliare con un team di professionisti qualificati.,Non contattato,,,
EuroEngineering,S.a.s.,Farmaceutico,"Via Garibaldi, 37, Collecchio, Parma",Collecchio,Parma,contatti@euroengineering.it,02 7730501,340 2098255,www.euroengineering.com,2017,233,47812547,Azienda leader nel settore farmaceutico con focus su innovazione e qualità.,Non contattato,,,
Ricci Logistica,S.r.l.,Chimica,"Via Catania, 3, Monza, Milano",Monza,Milano,riccilogistica@pec.it,030 727508,360 2085338,www.riccilogistica.it,1973,194,9231940,Forniamo soluzioni personalizzate per il settore chimica a piccole e medie imprese.,Non contattato,,,
FoodEnterprise,S.a.s.,Marketing,"Via Padova, 71, Jesolo, Venezia",Jesolo,Venezia,info@foodenterprise.it,010 819326,,,1977,109,47953109,Azienda familiare con lunga tradizione nel settore marketing e forte radicamento territoriale.,Non contattato,,,
SoftEngineering,Ditta Individuale,Turismo,"Via Bari, 99, Formigine, Modena",Formigine,Modena,softengineering@yahoo.it,081 611912,391 4721757,www.softengineering.org,1997,172,16728581,Offriamo servizi e prodotti di alta qualità nel settore turismo dal 1997.,Non contattato,,,
ItalInnovations,S.r.l.,Arredamento,"Via Verdi, 54, Monselice, Padova",Monselice,Padova,info@italinnovations.it,045 599026,,www.italinnovations.eu,2011,52,13905712,PMI in crescita specializzata in prodotti e servizi arredamento di alta qualità.,Non contattato,,,
SmartEnterprise,S.r.l.,Commercio,"Via Bari, 136, Lecce, Lecce",Lecce,Lecce,info@smartenterprise.com,030 168270,370 7787625,www.smartenterprise.net,2009,182,36664581,Azienda leader nel settore commercio con focus su innovazione e qualità.,Non contattato,,,
Colombo Arredamento,S.p.A.,Edilizia,"Via Verdi, 104, Pozzuoli, Napoli",Pozzuoli,Napoli,contatti@colomboarredamento.it,051 728690,,www.colomboarredamento.org,1976,75,16432913,Azienda leader nel settore edilizia con focus su innovazione e qualità.,Non contattato,,,
Bruno S.a.s.,S.p.A.,Formazione,"Via Verona, 1, Lecce, Lecce",Lecce,Lecce,info@brunosas.com,049 056826,370 4622498,www.brunosas.it,1987,134,11555281,Realtà consolidata nel panorama formazione con particolare attenzione alla sostenibilità.,Non contattato,,,
AgriInternational,Cooperativa,Arredamento,"Via Brescia, 67, Afragola, Napoli",Afragola,Napoli,info@agriinternational.com,045 013199,,www.agriinternational.com,1976,59,42174239,Dal 1976 operiamo con successo nel settore arredamento con clienti in tutta Italia.,Non contattato,,,
Rossi Manifatturiero,S.r.l.,Elettronica,"Via Garibaldi, 97, Casoria, Napoli",Casoria,Napoli,info@rossimanifatturiero.it,051 336821,350 0469594,www.rossimanifatturiero.com,1983,244,43155210,PMI specializzata in soluzioni elettronica per il mercato italiano ed europeo.,Non contattato,,,
TechServices,S.n.c.,Farmaceutico,"Via Bari, 131, Carini, Palermo",Carini,Palermo,contatti@techservices.it,045 792358,330 2738852,www.techservices.com,1993,14,4911507,Realtà consolidata nel panorama farmaceutico con particolare attenzione alla sostenibilità.,Non contattato,,,
DigitalSolutions,S.r.l.,Trasporti,"Via Venezia, 54, Città di Castello, Perugia",Città di Castello,Perugia,contatti@digitalsolutions.it,030 509067,,www.digitalsolutions.org,2018,197,34503883,Azienda innovativa nel campo trasporti con un team di professionisti qualificati.,Non contattato,,,
Greco Meccanica,Ditta Individuale,Marketing,"Via Catania, 84, Paternò, Catania",Paternò,Catania,info@grecomeccanica.it,02 8675891,,www.grecomeccanica.com,2017,75,9264052,Azienda innovativa nel campo marketing con un team di professionisti qualificati.,Non contattato,,,
EcoTechnologies,S.a.s.,Trasporti,"Via Napoli, 80, Sestri Levante, Genova",Sestri Levante,Genova,info@ecotechnologies.it,011 220355,320 3359532,www.ecotechnologies.it,1999,200,11998401,Azienda leader nel settore trasporti con focus su innovazione e qualità.,Non contattato,,,
Rossi Logistica,S.n.c.,Chimica,"Via Catania, 34, Abano Terme, Padova",Abano Terme,Padova,info@rossilogistica.it,06 3694007,340 1968483,www.rossilogistica.it,1980,139,4415835,Azienda innovativa nel campo chimica con un team di professionisti qualificati.,Non contattato,,,
Rizzo Tessile,S.a.s.,Automotive,"Via Palermo, 115, Cittadella, Padova",Cittadella,Padova,info@rizzotessile.com,080 685011,,www.rizzotessile.org,1990,197,12473006,Dal 1990 operiamo con successo nel settore automotive con clienti in tutta Italia.,Non contattato,,,
Conti S.n.c.,S.a.s.,Formazione,"Via Torino, 39, Genova, Genova",Genova,Genova,contatti@contisnc.it,051 733013,,www.contisnc.com,2017,21,35860606,Realtà consolidata nel panorama formazione con particolare attenzione alla sostenibilità.,Non contattato,,,
CyberDevelopment,Ditta Individuale,Immobiliare,"Via Milano, 95, Afragola, Napoli",Afragola,Napoli,cyberdevelopment@business.it,055 480239,,www.cyberdevelopment.it,1987,186,20577375,PMI in crescita specializzata in prodotti e servizi immobiliare di alta qualità.,Non contattato,,,
Moretti Energia,Cooperativa,Energia,"Via Bologna, 32, Carini, Palermo",Carini,Palermo,contatti@morettienergia.it,011 870578,350 6372887,,2001,232,49814721,Azienda leader nel settore energia con focus su innovazione e qualità.,Non contattato,,,
Mancini Ditta Individuale,Ditta Individuale,Design,"Via Bari, 7, Selargius, Cagliari",Selargius,Cagliari,info@mancinidittaindividuale.it,06 6344411,390 0545033,www.mancinidittaindividuale.it,2005,160,44198397,La nostra missione è fornire eccellenza nel settore design con un approccio innovativo.,Non contattato,,,
Costa Arredamento,Ditta Individuale,Logistica,"Corso Italia, 134, Bagheria, Palermo",Bagheria,Palermo,info@costaarredamento.com,041 338465,,www.costaarredamento.net,1981,147,34946651,PMI in crescita specializzata in prodotti e servizi logistica di alta qualità.,Non contattato,,,
EuroService,Cooperativa,Alimentare,"Via Leonardo da Vinci, 3, Trento, Trento",Trento,Trento,contatti@euroservice.it,02 4295068,,www.euroservice.eu,1973,222,46480419,La nostra missione è fornire eccellenza nel settore alimentare con un approccio innovativo.,Non contattato,,,
LogicEngineering,S.p.A.,Servizi,"Via Leonardo da Vinci, 21, Milano, Milano",Milano,Milano,contatti@logicengineering.it,011 878823,,www.logicengineering.it,2008,225,6876834,Realtà consolidata nel panorama servizi con particolare attenzione alla sostenibilità.,Non contattato,,,
InfoInternational,Cooperativa,Trasporti,"Via Padova, 61, Ercolano, Napoli",Ercolano,Napoli,infointernational@yahoo.it,06 8629762,,,1978,107,11193387,Dal 1978 operiamo con successo nel settore trasporti con clienti in tutta Italia.,Non contattato,,,
HydroCompany,S.n.c.,Turismo,"Via Cavour, 23, Ancona, Ancona",Ancona,Ancona,hydrocompany@company.it,010 551013,,,2019,124,14408169,Azienda innovativa nel campo turismo con un team di professionisti qualificati.,Non contattato,,,
